NomVideo	Duree	Interaction2Locuteurs	Interaction3Locuteurs	Interaction4Locuteurs	Interaction4+Locuteurs	InterventionCourte	InterventionLongue	SPonctuel	SLocalise	SPresent	SRegulier	SImportant	DistributionLocuteur	TransitionLocuteur	Parole	Musique	Parole+Musique	Parole+NonMusique	NonParole+Musique	NonParole+NonMusique	VisageNombreMin	VisageNombreMax	NombreTransitionPlan	IntraVariationMoyen
AShadedView-DPTVReportGarethPughSS09722.xml	185	0.0	0.0	0.0	0.0	1.34	0.0	0.0	1.34	0.0	0.0	0.0	100.0	0.0	9.62	97.89	9.08	0.0	88.81	0.11	0	12	17.5310445581	5.10348949454
Blueboymedia-TyraBanksDiscussesTheImportanceOfBeingABusinessWoman934.xml	132	0.0	0.0	0.0	0.0	0.0	94.34	0.0	0.0	0.0	0.0	94.34	100.0	0.0	30.15	65.08	17.72	11.98	47.36	21.58	0	0	2.86960514233	6.02857594307
Autumncountry-AutumnCountryVignette1308.xml	49	0.0	0.0	0.0	0.0	9.39	0.0	0.0	9.39	0.0	0.0	0.0	100.0	0.0	11.27	96.12	9.8	0.0	86.33	0.0	0	0	16.6597251145	10.0549004949
Remove-EasyLikeSundayMorning263.xml	313	0.0	40.47	49.13	49.13	0.0	0.0	0.0	0.0	0.0	0.0	84.71	100.0	2.44975451418	72.29	55.65	34.17	37.93	21.48	5.94	0	0	0.102073104758	0.0
Sunkisland-TheDrowningLandSemanal08478.xml	176	0.0	0.0	0.0	0.0	3.87	0.0	0.0	1.01	0.0	0.0	2.86	100.0	1.29132231405	16.16	99.03	15.87	0.0	83.17	0.0	0	0	2.90547520661	5.95706207414
Jumplynx-11VistaBlackberryStyledBackgroundsJumplynxVideoTutorial219.xml	1362	11.31	3.38	39.17	39.17	5.39	1.91	0.0	0.2	0.0	0.0	65.94	100.0	0.663057048782	71.23	55.13	34.12	37.04	21.01	7.72	0	0	0.0754699079912	7.95649688431
Henrichy0205blip-MuseumBrandhorstOpening866.xml	526	0.0	85.06	0.0	0.0	0.0	9.69	0.0	0.0	0.0	0.0	93.77	100.0	0.0361433590192	91.85	23.52	17.27	74.44	6.24	1.53	0	7	5.67450736601	6.06508122731
AustinDave-2008HolidayOpening718.xml	39	0.0	0.0	0.0	0.0	14.13	0.0	0.0	14.13	0.0	0.0	0.0	100.0	6.57462195923	28.45	79.23	19.59	2.98	59.64	5.22	0	9	105.193951348	5.81026611663
ArchiveTVClassics-gam1_512kb540.xml	1084	12.19	2.48	46.02	46.02	0.88	9.36	0.0	16.03	0.0	0.0	67.21	100.0	0.927615364714	35.29	80.38	21.38	13.85	59.0	5.53	0	2	0.765920943342	5.62919661338
ArchiveTVClassics-BH02_Getting_Settled_512kb315.xml	1495	5.87	4.06	79.44	79.44	0.7	0.0	0.0	0.0	5.03	17.84	64.18	100.0	0.970906365699	74.44	55.09	34.95	39.44	20.14	5.31	0	2	0.451896511225	5.19696070911
ArchiveTVClassics-BH08_Jethro_Goes_To_School_512kb502.xml	1532	1.58	3.61	86.39	86.39	0.27	0.0	0.0	0.0	6.8	39.62	44.01	100.0	1.15465372319	59.29	76.25	38.63	20.56	37.62	3.01	0	3	0.391985765804	5.80526160807
Akachan-XF3ARMYProjectPromo360.xml	55	0.0	0.0	0.0	0.0	15.11	0.0	0.0	15.11	0.0	0.0	0.0	100.0	0.0	9.88	77.64	4.97	2.91	72.66	4.0	0	0	3.30578512396	0.0
ArchiveTVClassics-ep12_512kb188.xml	1105	11.09	12.86	26.94	26.94	4.92	8.76	0.0	35.4	0.0	0.0	39.75	100.0	0.646997399726	33.46	64.58	14.39	18.9	50.19	16.02	0	2	0.483200589669	5.71911716293
ArchiveTVClassics-sj6_512kb588.xml	1179	9.18	10.0	41.83	41.83	4.15	2.3	0.0	14.63	0.0	0.0	55.36	100.0	1.21579147666	22.33	77.0	11.21	11.04	65.79	11.82	0	1	0.3453135555	5.02418473812
Gvtvnews-GVTVNews112008NCTV11671.xml	1724	6.13	6.97	43.55	43.55	3.96	12.67	0.0	4.19	0.0	0.0	72.75	100.0	0.185049606753	68.25	48.24	27.22	40.97	21.02	10.04	0	4	0.356641060287	6.12546454524
Theinterwebs-TheInterwebsMobileCelebritySpotting143.xml	396	12.38	0.0	41.01	41.01	0.58	25.84	0.0	0.0	7.83	9.95	73.17	100.0	1.02030405061	75.75	46.54	31.5	43.96	15.04	9.15	0	5	0.89276604428	6.14250255775
ArchiveTVClassics-BH14_No_Place_Like_Home_512kb339.xml	1508	5.73	0.48	80.68	80.68	0.37	2.26	0.0	0.0	12.81	9.73	65.03	100.0	1.02899478643	61.15	73.16	37.66	23.45	35.5	3.31	0	3	0.435343948103	6.26570720458
GVTVNEWS-GVTVNews010608NCTV11386.xml	1729	3.43	0.0	67.61	67.61	3.42	6.01	0.0	3.04	0.0	0.0	78.92	100.0	0.451589444314	77.91	31.29	18.17	59.63	13.12	7.9	0	5	0.377997090426	6.5694500224
